feature,coefficient
intercept,0.9132092467701282
price_npr,-0.007457931732798427
units_sold,0.007686584713700185
transaction_count,0.08276676493297606
avg_unit_price_npr,-0.007457931740004908
is_festival_period,0.1075173707024741
day_of_week,-0.168618331358046
month,-0.01229384580501871
is_weekend,0.050455828992781206
units_lag_1d,-0.0032517945203599467
units_rolling_7d,0.023550582581881953
units_rolling_14d,0.35288348523948015
day_of_week_sin,-0.2721713931042484
day_of_week_cos,-0.2655209860794949
month_sin,-0.0052101908471684985
month_cos,-0.0006388306220851819
